,model,year,price,transmission,mileage,engine size,mileage2,fuel type2,engine size2
1670, C Class,2018,21492,Semi-Auto,10267,145,60.1,Diesel,2.1
1671, C Class,2019,29386,Automatic,8013,145,44.1,Petrol,1.5
1672, C Class,2018,23522,Semi-Auto,15488,145,46.3,Petrol,1.5
1673, C Class,2017,18801,Semi-Auto,14812,145,64.2,Diesel,1.6
1674, C Class,2017,18495,Semi-Auto,18758,150,50.4,Petrol,2.0
1675, C Class,2019,26450,Semi-Auto,8439,145,60.1,Diesel,1.6
1676, C Class,2018,19495,Semi-Auto,11828,145,64.2,Diesel,2.1
1677, C Class,2019,32500,Semi-Auto,6877,145,42.2,Petrol,2.0
1678, C Class,2020,54000,Semi-Auto,250,145,29.1,Petrol,3.0
1679, C Class,2018,25750,Semi-Auto,6983,145,60.1,Diesel,2.1
1680, C Class,2019,19750,Semi-Auto,13695,145,61.4,Diesel,2.0
1681, C Class,2019,26995,Semi-Auto,11980,145,56.5,Diesel,2.0
1682, C Class,2018,27950,Semi-Auto,10179,145,54.3,Diesel,2.0
1683, C Class,2019,32026,Automatic,11471,145,57.7,Diesel,2.0
1684, C Class,2018,24222,Semi-Auto,9305,145,67.3,Diesel,2.1
1685, C Class,2019,28390,Semi-Auto,7050,145,43.5,Petrol,2.0
1686, C Class,2019,25890,Automatic,4074,145,44.1,Petrol,1.5
1687, C Class,2019,19980,Semi-Auto,13924,145,46.3,Petrol,1.5
1688, C Class,2019,25980,Semi-Auto,11581,145,58.9,Diesel,2.0
1689, C Class,2019,27980,Semi-Auto,3846,145,60.1,Diesel,1.6
1690, C Class,2018,27980,Automatic,2075,145,44.1,Petrol,1.5
1691, C Class,2019,29480,Semi-Auto,6096,145,44.1,Petrol,1.5
1692, C Class,2019,42900,Semi-Auto,10204,145,29.1,Petrol,3.0
1693, C Class,2019,37500,Semi-Auto,10261,145,29.4,Petrol,3.0
1694, C Class,2019,27500,Semi-Auto,4396,145,61.4,Diesel,2.0
1695, C Class,2019,29000,Semi-Auto,4998,145,44.1,Petrol,2.0
1696, C Class,2019,36980,Semi-Auto,8610,145,29.4,Petrol,3.0
1697, C Class,2017,21362,Semi-Auto,16093,145,64.2,Diesel,2.1
1698, C Class,2019,31346,Automatic,3001,145,44.1,Petrol,2.0
1699, C Class,2018,38123,Automatic,8233,145,29.4,Petrol,3.0
1700, C Class,2018,28842,Semi-Auto,10879,145,54.3,Diesel,2.0
1701, C Class,2019,27250,Semi-Auto,10871,145,56.5,Diesel,2.0
1702, C Class,2019,27490,Automatic,3098,145,42.2,Petrol,2.0
1703, C Class,2019,32890,Semi-Auto,4025,145,42.2,Petrol,2.0
1704, C Class,2019,30490,Automatic,4759,145,61.4,Diesel,2.0
1705, C Class,2019,30490,Automatic,5144,145,61.4,Diesel,2.0
1706, C Class,2019,28990,Automatic,1544,145,64.2,Diesel,2.0
1707, C Class,2019,53990,Automatic,2225,145,28.5,Petrol,4.0
1708, C Class,2020,65990,Semi-Auto,999,145,28.0,Petrol,4.0
1709, C Class,2015,17690,Automatic,32019,125,60.1,Diesel,2.1
1710, C Class,2019,32995,Semi-Auto,24,145,42.2,Petrol,2.0
1711, C Class,2018,26595,Semi-Auto,11522,145,57.7,Diesel,2.0
1712, C Class,2018,21695,Automatic,8090,145,46.3,Petrol,1.5
1713, C Class,2018,36495,Automatic,5983,145,36.2,Petrol,3.0
1714, C Class,2017,14645,Automatic,42104,20,65.7,Diesel,2.1
1715, C Class,2016,31945,Automatic,34765,260,35.3,Petrol,3.0
1716, C Class,2017,30745,Automatic,16274,145,36.2,Petrol,3.0
1717, C Class,2016,17399,Semi-Auto,53000,125,60.1,Diesel,2.1
1718, C Class,2019,37321,Automatic,50,145,54.3,Diesel,1.6
1719, C Class,2019,38521,Automatic,50,145,61.4,Diesel,2.0
1720, C Class,2019,26995,Semi-Auto,9,145,60.1,Diesel,1.6
1721, C Class,2019,42895,Automatic,4829,145,29.1,Petrol,3.0
1722, C Class,2019,32495,Semi-Auto,7499,145,44.1,Petrol,1.5
1723, C Class,2017,16995,Automatic,33219,145,64.2,Diesel,2.1
1724, C Class,2019,23016,Automatic,7264,145,45.6,Petrol,1.5
1725, C Class,2019,26876,Automatic,901,145,45.6,Petrol,1.5
